lines	Plant_height	year	loc
D1234	104.7	2023	Hefei
D1234	88.33333333	2023	Wuhan
D3453	93.2	2022	Hangzhou
D3453	82.6	2022	Hefei
D3453	81.26	2022	Wuhan
D3453	92	2023	Hangzhou
D3453	96.8	2023	Hefei
D3453	75	2023	Wuhan
D358	101.06	2022	Hangzhou
D358	106.9	2022	Hefei
D358	89.06	2022	Wuhan
D358	104.6666667	2023	Hangzhou
D358	106.3	2023	Hefei
D358	94.33333333	2023	Wuhan
D591	83.22	2022	Hangzhou
D591	88.6	2022	Hefei
D591	76.56	2022	Wuhan
D591	94.33333333	2023	Hangzhou
D591	91.8	2023	Hefei
D591	78.33333333	2023	Wuhan
D2122	158	2022	Hangzhou
D2122	152.6	2022	Hefei
D2122	147.2	2022	Wuhan
D2122	143.6666667	2023	Hangzhou
D2122	159.9	2023	Hefei
D2122	154.3333333	2023	Wuhan
D313	96	2022	Hangzhou
D313	101.6	2022	Hefei
D313	83.84	2022	Wuhan
D313	95.66666667	2023	Hangzhou
D313	101	2023	Hefei
D313	83.33333333	2023	Wuhan
D1503	70.4	2022	Hangzhou
D1503	77.5	2022	Hefei
D1503	80.44	2022	Wuhan
D1503	67	2023	Hangzhou
D1503	80.1	2023	Hefei
D1503	69.16666667	2023	Wuhan
D301	82.8	2022	Hangzhou
D301	73	2022	Hefei
D301	67.74	2022	Wuhan
D301	72.66666667	2023	Hangzhou
D301	85.7	2023	Hefei
D301	61	2023	Wuhan
D2523	127	2022	Hangzhou
D2523	121.6	2022	Hefei
D2523	124.5	2022	Wuhan
D2523	117	2023	Hangzhou
D2523	122.4	2023	Hefei
D2523	124.6666667	2023	Wuhan
D2239	109.8	2022	Hangzhou
D2239	109.9	2022	Hefei
D2239	111.2	2022	Wuhan
D2239	108.3333333	2023	Hangzhou
D2239	113.4	2023	Hefei
D2239	101	2023	Wuhan
D142	76.06	2022	Hangzhou
D142	70.8	2022	Hefei
D142	74.94	2022	Wuhan
D142	72.66666667	2023	Hangzhou
D142	83.1	2023	Hefei
D142	65	2023	Wuhan
D2019	150.4	2022	Hangzhou
D2019	164.7	2022	Hefei
D2019	159.7	2022	Wuhan
D2019	164.3333333	2023	Hangzhou
D2019	169.5	2023	Hefei
D2019	147.6666667	2023	Wuhan
D956	83.56	2022	Hangzhou
D956	85.6	2022	Hefei
D956	81.38	2022	Wuhan
D956	90.33333333	2023	Hangzhou
D956	96.3	2023	Hefei
D956	87.33333333	2023	Wuhan
